,gold_difference,team_win,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp
62,-3250.0,1,-1.0,2.0,0.0,-5.8,-0.75,0.1699999999999999,7.25
63,1224.0,1,-1.0,0.0,3.75,-4.0,0.0,0.5,-3.0
64,-10107.0,0,1.0,2.0,-0.3299999999999999,-10.5,-4.0,-2.83,-5.67
65,1573.0,1,-2.0,-1.0,-1.0,-2.5,-3.0,4.5,-1.75
66,-2919.0,1,1.0,0.0,-0.5,-1.0,-1.5,-3.0,1.8
67,6696.0,1,-2.0,0.0,0.0,3.17,11.6,2.0,1.75
68,7410.0,1,-2.0,-2.0,-0.5,6.75,3.0,0.3399999999999998,1.58
69,4505.0,0,1.0,-1.0,1.0,1.0,4.0,0.0,3.5
70,-2407.0,0,1.0,1.0,-1.0,-2.33,5.75,-5.0,-4.33
71,1097.0,0,1.0,-1.0,2.0,-3.0,-3.33,0.33,-2.0
72,1620.0,1,0.0,0.0,-1.0,1.33,3.0,5.0,6.75
73,387.0,0,1.0,0.0,0.3299999999999999,1.25,3.67,-6.75,-2.0
74,-4464.0,0,2.0,1.0,-1.6,5.0,0.0,-0.8300000000000001,2.67
75,2541.0,1,-1.0,0.0,3.0,7.57,-0.33,3.17,3.83
76,4543.0,1,0.0,-1.0,11.83,4.66,4.0,-3.25,-1.33
77,13582.0,1,-2.0,-2.0,3.25,4.25,4.67,3.8,8.67
78,-3349.0,1,-1.0,-2.0,4.5,-6.0,1.75,-1.5,-6.0
79,2676.0,1,-1.0,0.0,3.75,-5.5,2.33,1.13,-2.17
80,4788.0,1,0.0,-1.0,5.6,2.75,0.6699999999999999,0.0,-1.0
81,-924.0,1,-1.0,0.0,0.0,2.0,1.66,2.5,-0.3399999999999998
82,-993.0,0,1.0,1.0,-3.0,-2.33,-1.0,2.33,5.0
83,2115.0,1,2.0,-1.0,1.5,-5.0,-3.0,-2.17,-2.0
84,1635.0,0,2.0,-1.0,3.0,8.67,1.17,6.5,1.33
85,-2561.0,1,1.0,0.0,-0.3299999999999999,-10.25,-2.83,-2.0,-3.0
86,-638.0,0,1.0,0.0,-1.5,3.0,-1.0,-0.4000000000000001,0.1999999999999999
